 952, 1034, 950, 993 
1036, 1118, 1033, 1160 
983, 1014, 977, 969 
1069, 1098, 1063, 1134 
1047, 955, 1037, 1009 
1132, 1123, 1122, 1092  
984, 1025, 975, 1035 
1088, 1129, 1079, 1140  
1009, 980, 999, 1045 
1090, 1158, 1083, 1129 
1044, 984, 1047, 1013 
1204, 1069, 1211, 1097  
1045, 1002, 1045, 993 
1125, 1086, 1128, 1076  
1039, 1074, 1079, 1044 
1203, 1199, 1204, 1128  
993, 1036, 989, 1039 
1085, 1168, 1122, 1211  
849, 1008, 892, 1013 
934, 1099, 982, 1103 
996, 874, 993, 894 
1089, 1008, 1084, 976 
1175, 1090, 1211, 1069 
